city,state,total_cases,mean_cases,std_cases,total_deaths,mean_deaths,std_deaths,days_recorded,death_rate,mean_daily_growth,days_until_first_case
Abadia de Goiás,GO,1351.0,558.1536643026004,426.18181658337335,28,7.5650118203309695,7.5306580616233125,423,0.02072538860103627,3.193853427895981,55
Abadia dos Dourados,MG,375.0,118.7612293144208,119.46586182906411,14,2.6879432624113475,4.138253091680312,423,0.037333333333333336,0.8865248226950354,42
Abadiânia,GO,400.0,147.6595744680851,105.89862561396868,27,10.801418439716311,8.029760867836314,423,0.0675,0.9456264775413712,63
Abaetetuba,PA,7659.0,3646.4444444444443,2098.7251458969117,210,104.62884160756501,48.58165374791634,423,0.027418723070896985,18.106382978723403,4
Abaeté,MG,1019.0,248.5744680851064,312.80607912578324,26,5.224586288416075,6.855250919699369,423,0.02551521099116781,2.408983451536643,16
Abaiara,CE,461.0,130.44917257683215,123.8025359517386,14,3.189125295508274,2.7471958889086054,423,0.03036876355748373,1.0898345153664302,8
Abaré,BA,825.0,193.08510638297872,233.65948680273007,9,0.8392434988179669,1.8376451536436524,423,0.01090909090909091,1.950354609929078,49
Abatiá,PR,769.0,155.4066193853428,181.97563805926103,11,1.7423167848699763,2.851337313894762,423,0.014304291287386216,1.8179669030732861,42
Abaíra,BA,252.0,94.89834515366431,95.19693517361422,10,2.4562647754137115,3.4224450457042113,423,0.03968253968253968,0.5957446808510638,17
Abdon Batista,SC,345.0,125.22458628841608,90.30786816689765,3,0.5200945626477541,0.7721134843679892,423,0.008695652173913044,0.8156028368794326,63
Abel Figueiredo,PA,886.0,356.6501182033097,259.41629802552046,10,2.5153664302600474,2.4981747451597163,423,0.011286681715575621,2.0945626477541373,42
Abelardo Luz,SC,1361.0,489.45862884160755,422.1815130005606,43,12.39243498817967,13.624348829342525,423,0.03159441587068332,3.2174940898345152,9
Abre Campo,MG,919.0,218.02836879432624,276.88154968909237,15,2.5153664302600474,3.9033495514571745,423,0.01632208922742111,2.1725768321513,73
Abreu e Lima,PE,2671.0,1014.25768321513,673.7031827635295,197,105.7612293144208,56.19188697239468,423,0.07375514788468739,6.314420803782506,13
Abreulândia,TO,262.0,87.59810874704492,79.47651115769095,6,2.8865248226950353,1.8360226378648061,423,0.022900763358778626,0.6193853427895981,40
Acaiaca,MG,219.0,65.99290780141844,66.85385806523898,10,2.425531914893617,2.451135850117774,423,0.045662100456621,0.5177304964539007,83
Acajutiba,BA,483.0,187.22695035460993,158.02955969188872,15,4.912529550827423,4.247598594874144,423,0.031055900621118012,1.1418439716312057,26
Acarape,CE,2617.0,1444.1205673758866,841.4612330678556,55,12.782505910165485,6.167486707219789,423,0.021016431027894536,6.1867612293144205,22
Acaraú,CE,4565.0,2404.101654846336,1251.2333693672444,93,50.614657210401894,24.85637364386545,423,0.0203723986856517,10.791962174940899,21
Acari,RN,903.0,245.79905437352247,263.9633300668045,13,5.527186761229315,3.829740612232207,423,0.014396456256921373,2.1347517730496453,18
Acará,PA,1227.0,686.418439716312,360.0995088122846,28,13.42080378250591,6.770982295659719,423,0.022819885900570498,2.900709219858156,15
Acauã,PI,188.0,68.40189125295508,62.58139114578469,1,0.3262411347517731,0.4693918708777375,423,0.005319148936170213,0.4444444444444444,69
Aceguá,RS,300.0,52.3758865248227,87.21653113612332,4,0.38534278959810875,1.1418255995345303,423,0.013333333333333334,0.7092198581560284,111
Acopiara,CE,2996.0,1062.8037825059102,800.9599109462376,119,44.0709219858156,31.831527500055532,423,0.0397196261682243,7.08274231678487,17
Acorizal,MT,470.0,183.50591016548464,137.53289770367368,18,6.042553191489362,5.104879656697869,423,0.03829787234042553,1.1111111111111112,44
Acrelândia,AC,1541.0,559.5153664302601,437.90823783449576,33,10.756501182033096,8.270876160879238,423,0.021414665801427646,3.6430260047281324,2
Acreúna,GO,1732.0,713.0,568.6645118294424,44,17.93853427895981,14.010862567468342,423,0.025404157043879907,4.094562647754137,66
Adamantina,SP,2688.0,713.1631205673759,778.7610827715573,75,18.940898345153663,20.583636029060692,423,0.027901785714285716,6.3546099290780145,7
Adelândia,GO,151.0,65.54137115839244,43.41208433560771,4,1.1442080378250592,1.1335086969654786,423,0.026490066225165563,0.35697399527186763,71
Adolfo,SP,418.0,136.51063829787233,120.13722112974169,10,4.08983451536643,2.8051181592299965,423,0.023923444976076555,0.9881796690307328,34
Adrianópolis,PR,1141.0,359.01418439716315,373.5435220044665,23,6.4775413711583925,7.02728882668246,423,0.020157756354075372,2.6973995271867612,76
Adustina,BA,697.0,179.46335697399527,197.90115047737345,12,3.3356973995271866,3.1231936843129913,423,0.01721664275466284,1.6477541371158393,8
Afogados da Ingazeira,PE,4032.0,1237.3498817966904,1187.4639153584508,59,18.314420803782507,16.697701265940182,423,0.014632936507936508,9.53191489361702,33
Afonso Bezerra,RN,613.0,170.91962174940898,144.14731527271167,14,7.706855791962175,4.283676201195687,423,0.022838499184339316,1.4491725768321513,40
Afonso Cláudio,ES,3191.0,1272.4751773049645,1040.1509659493245,55,23.148936170212767,16.267288799444785,423,0.01723597618301473,7.543735224586288,6
Afonso Cunha,MA,165.0,116.70212765957447,58.78228099898289,2,1.4988179669030732,0.8399805473140431,423,0.012121212121212121,0.3900709219858156,54
Afrânio,PE,788.0,289.8108747044917,241.30781540844285,13,4.132387706855792,4.154762666645574,423,0.01649746192893401,1.8628841607565012,33
Afuá,PA,2897.0,1811.4113475177305,1022.5338062355808,14,9.044917257683215,4.5882981625742785,423,0.004832585433206766,6.84869976359338,22
